id_anonimo_emp;anio;ciiu;descciiu;sector;ubigeo;departamento;provincia;distrito;tamanio_emp;valor_estimado_minimo_venta;valor_estimado_maximo_venta;exporta;valor_estimado_minimo_fob_dolar;valor_estimado_maximo_fob_dolar;fec_creacion
5DB13ED99A92E8B15E657784896508BC;2023;1551;"DESTILACION, RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS; PRODUCCION DE ALCOHOL ETILICO A PARTIR DE SUSTANCIAS FERMENTADAS";MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;NO;0;0;20241231
D4889B7268EB441AFE408F0084BA815A;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110107;ICA;ICA;PUEBLO NUEVO;MICRO;0;742500;NO;0;0;20241231
D1CC85C1CD1EDFD7FF43F7BEB1F2EA84;2023;1554;"ELABORACION DE BEBIDAS NO ALCOHOLICAS; PRODUCCION DE AGUAS MINERALES";MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;NO;0;0;20241231
18BD8A8127943E8E39F93B55B09D0D0F;2023;1549;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS NCP;MANUFACTURA;110501;ICA;PISCO;PISCO;PEQUENA;742500;8415000;NO;0;0;20241231
173693B6D9F0EFFB83222EF94BC35AE0;2023;1549;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS NCP;MANUFACTURA;110505;ICA;PISCO;PARACAS;MICRO;0;742500;NO;0;0;20241231
A477475748148380E48073B72152D5D4;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110206;ICA;CHINCHA;GROCIO PRADO;MICRO;0;742500;NO;0;0;20241231
ADBEECEA269A9FDE5A6AC7CE218E4DF8;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
C24769DFDCB75BF429047D398999ACC3;2023;1513;ELABORACION Y CONSERVACION DE FRUTAS, LEGUMBRES Y HORTALIZAS;MANUFACTURA;110101;ICA;ICA;ICA;PEQUENA;742500;8415000;NO;0;0;20241231
6982BCB6F7D90BB396B86CCE2CCA0F51;2023;1531;ELABORACION DE PRODUCTOS DE MOLINERIA;MANUFACTURA;110206;ICA;CHINCHA;GROCIO PRADO;MICRO;0;742500;NO;0;0;20241231
909512A38F03E0ED0C97738B03445AB7;2023;1549;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS NCP;MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;NO;0;0;20241231
3E282687725A1C9D7CF2A65738C16FE6;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;NO;0;0;20241231
6C05BA19BC70CF1DD9F148CA86222EFD;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110106;ICA;ICA;PARCONA;MICRO;0;742500;NO;0;0;20241231
8FFCBE67548930B3B4B66734ADD20699;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110103;ICA;ICA;LOS AQUIJES;MICRO;0;742500;NO;0;0;20241231
70F465E567AFB10053C5B665AF519DF7;2023;1513;ELABORACION Y CONSERVACION DE FRUTAS, LEGUMBRES Y HORTALIZAS;MANUFACTURA;110106;ICA;ICA;PARCONA;MEDIANA;8415000;11385000;NO;0;0;20241231
5E2DBBA3C04F143F68AFCB06998AC2AB;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
03D695DB433787D713E5D158E251006B;2023;1551;"DESTILACION, RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS; PRODUCCION DE ALCOHOL ETILICO A PARTIR DE SUSTANCIAS FERMENTADAS";MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;SI;0;97697;20241231
